"QUAL1" "QUAL2" "QUAL3" "QUAL4" "QUAL5" "QUAL6" "QUAL7" "QUAL8" "QUAL9" "VALU1" "VALU2" "SATI1" "SATI2" "SATI3" "LOYA1" "LOYA3"
7 7 6 7 7 6 8 8 9 5 5 7 6 7 9 8
10 10 10 10 8.21 10 8.18 8.12 10 5.9 6.44 10 10 10 9 9
8 8 9 9 9 9 9 9 9 7 7 7 8 8 9 9
9 9 9 9 9 9 9 8.12 9 5.9 6.44 8 7 8 10 10
10 9 9 9 10 10 10 8.12 10 8 8 9 10 9 9 9
7 7 7 7 7 7 8 7 8 6 6 7 6 7 7 7
8 7 8 7 6 6 5 8.12 8 7 7 7 7 7 7 7
7 6 7 6 9 8 7 7 8 5 6 6 7 4 10 8
9 9 9 8 10 9 10 10 10 8 8 9 8 9 9 8
7 6 6 7 7 7 6 6 8 5 5 7 6 7 7 8
8 8 8 8 9 9 8 8 9 5 5 9 8 8 9 8
4 7.58 7.75 7 2 3 7 8.12 8 1 1 4 2 2 1 1
9 9 9 8 9 9 9 9 9 7 8 10 10 9 10 10
8 6 6 7 7 7 8 8 8 4 6 8 8 7 10 8
9 8 9 8 9 8 9 10 8 8 8 10 8 8 9 9
7 6 8 6 7 6 10 8 9 5 5 8 7 5 9 7
7 7 7 7 8 7 6 7 8 5 7 7 7 7 8 8
8 8 8 9 9 9 8 8.12 8 7 8 8 8 7 9 9
8 7.58 7 7 7 8 8 8 8 5.9 7 8 7 7 8 10
8 7 8 8 8 8 8 9 8 2 7 9 7 7 6 9
8 8 8 8 7 8 8 9 8 6 7 8 7 6 9 9
10 9 9 9 9 9 10 10 10 9 9 9 9 9 9 9
8 8 8 8 9 8 8 9 8 8 8 9 8 8 9 9
8 7 7 7 8 8 7 8 8 9 7 8 8 7 9 9
8 8 7 6 9 9 7 9 9 5 5 8 7 6 5 9
8 7 9 9 8 9 8 5 8 4 4 7 9 7 9 8
9 8 7 7 9 9 8 7 8 7 7 8 8 7 9 9
9 8 9 9 9 9 9 8 9 9 8 9 10 8 10 10
8 7 7 7 9 8 8 8.12 8 6 8 7 8 7 7 9
7 5 6 5 6 7 8 9 8 6 6 7 6 5 8 8
8 7 7 7 8 8 8 7 7 6 7 8 7 8 9 10
8 7 8 8 8 8 8 9 8 4 6 8 7 3 9 9
9 8 8 8 7 8 8 9 9 7 8 8 8 8 8 10
9 8 8 7 9 9 10 10 9 5 6 9 7 7 10 10
8.02 5 5 5 5 5 8.18 8.12 8 3 3 5 6 6.93 8 8
8 8 8 7 9 8 10 8.12 9 5 6 7 8 6 8 9
7 7 8 6 6 8 8 8 8 8 7 8 7 6 8.62 9
8 8 7 7 8 8 8 9 8 7 7 9 8 7 9 8
8 7 6 6 7 7 3 6 6 4 5 9 5 6 7 7
9 6 6 8 8 8 7 6 9 4 6 9 8 7 9 9
8 8 8 8 7 8.02 7 9 7 5 5 8 8 8 8 9
6 5 6 6 6 5 8.18 7 8 5 5 6 5 5 9 9
10 7 7 7 10 10 7 8.12 7 5 7 5 7 10 10 10
8 8 10 10 10 10 9 9 10 8 8 8 8 7 10 8
6 6 6 7 6 8 6 8 6 5 6 8 5 5 10 9
7 6 7 6 7 8 7 8 8 5 6 8 7 6 6 7
